STATION,DATE,YEAR,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72750304909,1/1/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",8.2,24,3.1,24,9999.9,0,969.1,18,6.3,24,9.5,24,20,28,24.8,*,1.4,*,99.99, ,999.9,1000
72750304909,1/2/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",2.9,24,-2.8,24,9999.9,0,980.7,24,9.9,24,5.2,24,12,17.1,12.2,*,-5.8,*,99.99, ,999.9,1000
72750304909,1/3/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",7.5,24,3.9,24,9999.9,0,981.5,24,8.2,24,0.4,24,2.9,,14,*,-0.4,*,99.99, ,999.9,1000
72750304909,1/4/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",1.6,24,-2.4,24,9999.9,0,981.5,24,8.3,24,2,24,7,,10.4,*,-7.6,*,99.99, ,999.9,1000
72750304909,1/5/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",9.6,24,5.4,24,9999.9,0,976.8,24,8.9,24,3.4,24,7,,21.2,*,-2.2,*,99.99, ,999.9,1000
72750304909,1/6/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",7,24,2.6,24,9999.9,0,975.9,24,8.4,24,1.7,24,7,,15.8,*,-2.2,*,99.99, ,999.9,101000
72750304909,1/7/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",9.6,24,4.8,24,9999.9,0,969.2,24,7.6,24,6.4,24,19,25.1,12.2,*,3.2,*,99.99, ,999.9,1000
72750304909,1/8/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",5.6,24,-0.3,24,9999.9,0,978.9,24,10,24,4.9,24,11.1,15,8.6,*,-2.2,*,99.99, ,999.9,1000
72750304909,1/9/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",-4.2,24,-9.1,24,9999.9,0,989.5,24,10,24,0.1,24,2.9,,12.2,*,-16.6,*,0,I,999.9,0
72750304909,1/10/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",9.9,24,4.6,24,9999.9,0,994.6,24,10,24,0.8,24,4.1,,19.4,*,1.4,*,0,I,999.9,0
72750304909,1/11/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",18.8,24,15.3,24,9999.9,0,992.6,24,4.7,24,1.6,24,5.1,,23,*,17.6,*,99.99, ,999.9,1000
72750304909,1/12/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",13.9,24,10.6,24,9999.9,0,997.8,24,9.9,24,2.3,24,6,,23,*,6.8,*,99.99, ,999.9,1000
72750304909,1/13/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",5.8,24,2.1,24,9999.9,0,995,24,7.5,24,1.7,24,7,,15.8,*,-2.2,*,99.99, ,999.9,1000
72750304909,1/14/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",13.5,24,9.6,24,9999.9,0,987.8,16,4.8,24,1.5,24,6,,15.8,*,10.4,*,99.99, ,999.9,1000
72750304909,1/15/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",11.1,24,6,24,9999.9,0,987.4,24,7.7,24,4.9,24,8.9,,15.8,*,5,*,99.99, ,999.9,1000
72750304909,1/16/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",2.1,24,-3.5,24,9999.9,0,993.3,11,9.5,24,1.9,24,7,,8.6,*,-2.2,*,99.99, ,999.9,1000
72750304909,1/17/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",15.6,24,11.2,24,9999.9,0,968.5,9,6.4,24,5.4,24,11.1,16.9,21.2,*,8.6,*,99.99, ,999.9,1000
72750304909,1/18/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",10.2,24,4.5,24,9999.9,0,980.8,24,10,24,6.5,24,9.9,14,19.4,*,1.4,*,99.99, ,999.9,1000
72750304909,1/19/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",4.9,24,-0.4,24,9999.9,0,986.4,24,8.5,24,2.1,24,8,,10.4,*,-2.2,*,99.99, ,999.9,1000
72750304909,1/20/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",-0.7,24,-6,24,9999.9,0,985.5,24,7.9,24,6.1,24,15.9,24.1,6.8,*,-7.6,*,99.99, ,999.9,1000
72750304909,1/21/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",-15,24,-20.7,24,9999.9,0,985,24,9.1,24,2.3,24,7,,-2.2,*,-29.2,*,99.99, ,999.9,1000
72750304909,1/22/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",-1.6,24,-7.5,24,9999.9,0,999.9,0,8.4,24,4.1,24,8.9,,3.2,*,-7.6,*,99.99, ,999.9,1000
72750304909,1/23/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",-7.8,24,-13,24,9999.9,0,988.3,24,10,24,2.8,24,15,21,10.4,*,-20.2,*,0,I,999.9,0
72750304909,1/24/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",13.5,24,8,24,9999.9,0,976.8,24,8.3,24,7.7,24,14,19,23,*,8.6,*,99.99, ,999.9,1000
72750304909,1/25/2011,2011,45.55944,-93.265,288,"CAMBRIDGE MUNICIPAL AIRPORT, MN US",16.6,24,11.2,24,9999.9,0,982.9,24,9.9,24,4,24,9.9,,21.2,*,12.2,*,99.99, ,999.9,1000
